ItemNum,Description,ScheduleFee
38472,"Insertion, replacement or removal of implantable defibrillator generator, if the patient has one of the following: (a) a history of haemodynamically significant ventricular arrhythmias in the presence of structural heart disease; (b) documented high-risk genetic cardiac disease; (c) ischaemic heart disease, with a left ventricular ejection fraction of less than 30% at least one month after experiencing a myocardial infarction and while on optimised medical therapy; (d) chronic heart failure, classified as New York Heart Association class II or III, with a left ventricular ejection fraction of less than 35% (despite optimised medical therapy); other than a service to which item 38212 applies (H) (Anaes.) (Assist.)",327.95
38484,"Aortic or pulmonary valve replacement with bioprosthesis or mechanical prosthesis, including retrograde cardioplegia (if performed), other than a service associated with a service to which item 11704, 11705, 11707, 11714, 18260, 33824,38816, 38828 or 45503 applies (H) (Anaes.) (Assist.)",2312.55
38495,"TAVI, for the treatment of symptomatic severe aortic stenosis, performed via transfemoral delivery, unless transfemoral delivery is contraindicated or not feasible, if: (a) the TAVI Patient is at high risk for surgery; and (b) the service: (i) is performed by a TAVI Practitioner in a TAVI Hospital; and (ii) includes all intraoperative diagnostic imaging that the TAVI Practitioner performs upon the TAVI Patient; and (iii) includes valvuloplasty, if required; not being a service which has been rendered within 5 years of a service to which this item or item 38514 or 38522 applies (H) (Anaes.) (Assist.)",1631.65
38499,"Mitral or tricuspid valve replacement with bioprothesis or mechanical prosthesis, including retrograde cardioplegia (if performed), other than a service associated with a service to which item 11704, 11705, 11707, 11714, 18260, 33824,38816, 38828 or 45503 applies (H) (Anaes.) (Assist.)",2312.55
38502,"Coronary artery bypass, including cardiopulmonary bypass, with or without retrograde cardioplegia, with or without vein grafts, and including at least one of the following: (a) harvesting of left internal mammary artery and vein graft material; (b) harvesting of left internal mammary artery; (c) harvesting of vein graft material; other than a service associated with a service to which item 11704, 11705, 11707, 11714, 18260, 33824,38816, 38828 or 45503 applies(H) (Anaes.) (Assist.)",2684.05
38512,"Division of accessory pathway, isolation procedure, procedure on atrioventricular node or perinodal tissues involving one atrial chamber only, other than a service associated with a service to which item 11704, 11705, 11707, 11714, 18260, 33824,38816, 38828 or 45503 applies (H) (Anaes.) (Assist.)",2390.7
38514,"TAVI, for the treatment of symptomatic severe aortic stenosis, performed via transfemoral delivery, unless transfemoral delivery is contraindicated or not feasible, if: (a) the TAVI Patient is at intermediate risk for surgery; and (b) the service: (i) is performed by a TAVI Practitioner in a TAVI Hospital; and (ii) includes all intraoperative diagnostic imaging that the TAVI Practitioner performs upon the TAVI Patient; and (iii) includes valvuloplasty, if required; not being a service which has been rendered within 5 years of a service to which this item or item 38495 or 38522 applies (H) (Anaes.) (Assist.)",1631.65
38515,"Division of accessory pathway, isolation procedure, procedure on atrioventricular node or perinodal tissues involving both atrial chambers and including curative surgery for atrial fibrillation, other than a service associated with a service to which item 11704, 11705, 11707, 11714, 18260, 33824, 38816, 38828 or 45503 applies (H) (Anaes.) (Assist.)",3044
38516,"Simple valve repair: (a) with or without annuloplasty; and (b) including quadrangular resection, cleft closure or alfieri; and (c) including retrograde cardioplegia (if performed); other than a service associated with a service to which item 11704, 11705, 11707, 11714, 18260, 33824,38816, 38828 or 45503 applies (H) (Anaes.) (Assist.)",2846.65
38517,"Complex valve repair: (a) with or without annuloplasty; and (b) including retrograde cardioplegia (if performed); and (c) including one of the following: (i) neochords; (ii) chordal transfer; (iii) patch augmentation; (iv) multiple leaflets; other than a service associated with a service to which item 11704, 11705, 11707, 11714, 18260, 33824, 38816, 38828 or 45503 applies(H) (Anaes.) (Assist.)",3503.6
38522,"TAVI, for the treatment of symptomatic severe native calcific aortic stenosis, performed via transfemoral delivery, unless transfemoral delivery is contraindicated or not feasible, if: (a) the TAVI Patient is at low risk for surgery; and (b) the service: (i) is performed by a TAVI Practitioner in a TAVI Hospital; and (ii) includes all intraoperative diagnostic imaging that the TAVI Practitioner performs upon the TAVI Patient; and (iii) includes valvuloplasty, if required; not being a service which has been rendered within 5 years of a service to which this item or item 38495 or 38514 applies (H) (Anaes.) (Assist.)",1631.65
38553,"Repair or replacement of ascending thoracic aorta: (a) including: (i) aortic valve replacement or repair; and (i) cardiopulmonary bypass; and (ii) retrograde cardioplegia (if performed); and (b) not including implantation of coronary arteries; other than a service associated with a service to which item 11704, 11705, 11707, 11714, 18260, 33824,38816, 38828 or 45503 applies (H) (Anaes.) (Assist.)",3222.1
38555,"Simple replacement or repair of aortic arch, performed in conjunction with a service to which item 38550, 38553, 38554, 38556, 38568 or 38571 applies, including: (a) deep hypothermic circulatory arrest; and (b) peripheral cannulation for cardiopulmonary bypass; and (c) antegrade or retrograde cerebral perfusion (if performed); other than a service associated with a service to which item 11704, 11705, 11707, 11714, 18260, 33824, 38603, 38816, 38828 or 45503 applies (H) (Anaes.) (Assist.)",2846.65
38556,"Repair or replacement of ascending thoracic aorta, including: (a) aortic valve replacement or repair; and (b) implantation of coronary arteries; and (c) cardiopulmonary bypass; and (d) retrograde cardioplegia (if performed); other than a service associated with a service to which item 11704, 11705, 11707, 11714, 18260, 33824, 38603, 38816, 38828 or 45503 applies (H) (Anaes.) (Assist.)",3536.95
39000,LUMBAR PUNCTURE (Anaes.),85.75
39013,"Injection of one or more zygo-apophyseal or costo-transverse joints with one or more of contrast media, local anaesthetic or corticosteroid under image guidance (Anaes.)",124.3
39014,"Medial branch block of one or more primary posterior rami, injection of an anaesthetic agent under image guidance (Anaes.)",142.25
39109,"Trigeminal gangliotomy by radiofrequency, balloon or glycerol, including stereotaxy (Anaes.) (Assist.)",1614.95
39110,"Left lumbar percutaneous zygapophyseal joint denervation by radio-frequency probe, or cryoprobe, using radiological imaging control Applicable to one or more services provided in a single attendance, for not more than 3 attendances in a 12 month period (Anaes.)",305.3
39111,"Right lumbar percutaneous zygapophyseal joint denervation by radio-frequency probe, or cryoprobe, using radiological imaging control Applicable to one or more services provided in a single attendance, for not more than 3 attendances in a 12 month period (Anaes.)",305.3
39113,"Cranial nerve, neurectomy or intracranial decompression of, using microsurgical techniques, including stereotaxy and cranioplasty (Anaes.) (Assist.)",2709.15
39116,"Left thoracic percutaneous zygapophyseal joint denervation by radio-frequency probe or cryoprobe using radiological imaging control Applicable to one or more services provided in a single attendance, for not more than 3 attendances in a 12 month period (Anaes.)",339.3
39117,"Right thoracic percutaneous zygapophyseal joint denervation by radio-frequency probe, or cryoprobe, using radiological imaging control Applicable to one or more services provided in a single attendance, for not more than 3 attendances in a 12 month period (Anaes.)",339.3
39118,"Left cervical percutaneous zygapophyseal joint denervation by radio-frequency probe, or cryoprobe, using radiological imaging control Applicable to one or more services provided in a single attendance, for not more than 3 attendances in a 12 month period (Anaes.)",373.2
39119,"Right cervical percutaneous zygapophyseal joint denervation by radio-frequency probe, or cryoprobe, using radiological imaging control Applicable to one or more services provided in a single attendance, for not more than 3 attendances in a 12 month period (Anaes.)",373.2
39130,"Epidural lead or leads, percutaneous placement of, including intraoperative test stimulation, for the management of chronic neuropathic pain or pain from refractory angina pectoris (H) (Anaes.) (Assist.)",767.95
39134,"Neurostimulator or receiver, subcutaneous placement of, including placement and connection of extension wires to epidural or peripheral nerve electrodes, for the management of chronic neuropathic pain or pain from refractory angina pectoris (H) (Anaes.) (Assist.)",387.95
39135,"Neurostimulator or receiver that was inserted for the management of chronic neuropathic pain or pain from refractory angina pectoris, open surgical removal of, performed in the operating theatre of a hospital (H) (Anaes.) (Assist.)",181.6
39137,"Epidural or peripheral nerve lead that was implanted for the management of chronic neuropathic pain or pain from refractory angina pectoris, open surgical repositioning of, to correct displacement or unsatisfactory positioning, including intraoperative test stimulation, other than a service to which item 39130, 39138 or 39139 applies (H) (Anaes.) (Assist.)",689.65
39138,"Peripheral nerve lead or leads, surgical placement of, including intraoperative test stimulation, for the management of chronic neuropathic pain where the leads are intended to remain in situ long term (H) (Anaes.) (Assist.)",767.95
39139,"Epidural lead, surgical placement of one or more of by partial or total laminectomy, including intraoperative test stimulation, for the management of chronic neuropathic pain or pain from refractory angina pectoris (H) (Anaes.) (Assist.)",1031.1
39140,"EPIDURAL CATHETER, insertion of, under imaging control, with epidurogram and epidural therapeutic injection for lysis of adhesions (Anaes.)",333.65
39300,"Nerve, digital or cutaneous, primary repair of, using microsurgical techniques, other than a service associated with a service to which item 39330 applies—applicable once per nerve (H) (Anaes.) (Assist.)",402.6
39312,"Nerve trunk, internal (interfascicular), neurolysis of, using microsurgical techniques, other than a service associated with a service to which item 30023 applies that is performed at the same site (H) (Anaes.) (Assist.)",454.05
39321,"Transposition of nerve, excluding the ulnar nerve at the elbow, other than a service associated with a service to which item 39330 applies (H) (Anaes.) (Assist.)",539.65
39323,"Percutaneous denervation (excluding medial branch nerve) by cryotherapy or radiofrequency probe, other than a service to which another item applies, applicable not more than 6 times for a given nerve in a 12 month period (Anaes.)",315.3
39324,Neurectomy or removal of tumour or neuroma from superficial peripheral nerve (Anaes.) (Assist.),315.3
39327,"NEURECTOMY, NEUROTOMY or removal of tumour from deep peripheral or cranial nerve, by open operation, not being a service to which item 41575, 41576, 41578 or 41579 applies (Anaes.) (Assist.)",539.75
39330,"Neurolysis by open operation without transposition, other than a service associated with: (a) a service to which item 39321, 39328, 39329, 39332, 39336, 39339, 39342, 39345, 49774 or 49775 applies; or (b) a service to which item 30023 applies that is performed at the same site (H) (Anaes.) (Assist.)",315.3
39331,"Carpal tunnel release, including division of transverse carpal ligament or release of median nerve, by any method, including either or both of the following (if performed): (a) synovectomy; (b) neurolysis; other than a service associated with: (c) a service to which item 46339 applies; or (d) a service to which item 30023 applies that is performed at the same site (Anaes.) (Assist.)",315.3
39332,"Revision of carpal tunnel release, including division of transverse carpal ligament or release of median nerve, by any method, including either or both of the following (if performed): (a) synovectomy; (b) neurolysis; other than a service associated with: (c) a service to which item 46339 applies; or (d) a service to which item 30023 applies that is performed at the same site (Anaes.) (Assist.)",473
39336,"Ulnar nerve decompression at elbow or wrist (cubital tunnel or Guyon’s canal) without transposition, by any method, including neurolysis (if performed), other than a service associated with a service to which item 30023 applies that is performed at the same site (Anaes.) (Assist.)",315.3
39342,"Ulnar nerve decompression at elbow (cubital tunnel), including any of the following (if performed): (a) associated transposition; (b) subcutaneous or submuscular transposition of the nerve; (c) medial epicondylectomy; (d) ostetomy and reconstruction of the flexor origin; (e) neurolysis; other than a service associated with a service to which item 30023 applies that is performed at the same site (Anaes.) (Assist.)",620.55
39604,"Any of the following procedures for intracranial haemorrhage or swelling:(a) craniotomy, craniectomy or burr-holes for removal of intracranial haemorrhage, including stereotaxy;(b) craniotomy or craniectomy for brain swelling, stroke, or raised intracranial pressure, including for subtemporal decompression, including stereotaxy; or(c) post-operative re-opening, including for swelling or post-operative cerebrospinal fluid leak. (Anaes.) (Assist.)",2043.25
39638,"Anterior or middle cranial fossa or cavernous sinus, tumour or vascular lesion, removal or radical excision of, including stereotaxy and cranioplasty—conjoint surgery, principal surgeon (Anaes.) (Assist.)",4849.8
39641,"Anterior or middle cranial fossa or cavernous sinus, tumour or vascular lesion, removal or radical excision of, including stereotaxy and cranioplasty - one surgeon (Anaes.) (Assist.)",5115.4
39710,"Intracranial tumour, one or more, biopsy, drainage, decompression or removal of, through a single craniotomy, including stereotaxy and cranioplasty (Anaes.) (Assist.)",2760.8
39712,"Transcranial tumour removal or biopsy of one or more of any of the following: (a) meningioma; (b) pinealoma; (c) cranio pharyngioma; (d) pituitary tumour; (e) intraventricular lesion; (f) brain stem lesion; (g) any other intracranial tumour; by any means (with or without endoscopy), through a single craniotomy, including stereotaxy and cranioplasty (Anaes.) (Assist.)",4217.05
39715,"Pituitary tumour, removal of, by transphenoidal approach, including stereotaxy and dermis, dermofat or fascia grafting, other than a service associated with a service to which item 40600 applies (Anaes.) (Assist.)",3077.75
39801,"Aneurysm, clipping, proximal ligation, or reinforcement of sac, including stereotaxy and cranioplasty (Anaes.) (Assist.)",6311.1
40004,"Ventricular, lumbar or cisternal shunt diversion, insertion or revision of, including stereotaxy (Anaes.) (Assist.)",1884.8
40803,"Intracranial stereotactic procedure by any method, other than: (a) a service to which item 40801 applies; or (b) a service associated with a service to which item 39018, 39109, 39113, 39604, 39615, 39638, 39639, 39641, 39651, 39654, 39656, 39700, 39703, 39710, 39712, 39715, 39718, 39720, 39801, 39803, 39818, 39821, 39900, 39903, 40004, 40012, 40106, 40109, 40700, 40703, 40706, 40709 or 40712 applies (Anaes.) (Assist.)",1362.15
40851,"DEEP BRAIN STIMULATION (bilateral) functional stereotactic procedure including computer assisted anatomical localisation, physiological localisation including twist drill, burr hole craniotomy or craniectomy and insertion of electrodes for the treatment of: Parkinson's disease where the patient's response to medical therapy is not sustained and is accompanied by unacceptable motor fluctuations; or Essential tremor or dystonia where the patient's symptoms cause severe disability. (Anaes.) (Assist.)",4514.85
40856,DEEP BRAIN STIMULATION (unilateral) removal or replacement of neurostimulator receiver or pulse generator for the treatment of: Parkinson's disease where the patient's response to medical therapy is not sustained and is accompanied by unacceptable motor fluctuations; or Essential tremor or dystonia where the patient's symptoms cause severe disability. (Anaes.),291
41512,"MEATOPLASTY involving removal of cartilage or bone or both cartilage and bone, not being a service to which item 41515 applies (Anaes.) (Assist.)",667.45
41518,"EXTERNAL AUDITORY MEATUS, removal of EXOSTOSES IN (Anaes.) (Assist.)",1058.05
41521,"Correction of auditory canal stenosis, including meatoplasty, with or without grafting, other than a service associated with a service to which an item in Subgroup 18 applies(H) (Anaes.) (Assist.)",1126.5
41527,"Myringoplasty, by transcanal approach, other than a service associated with a service to which another item in this Subgroup applies (H) (Anaes.) (Assist.)",669.4
41530,"Myringoplasty, post-aural or endaural approach, with or without mastoid inspection, other than a service associated with a service to which another item in this Subgroup applies(H) (Anaes.)",1090.65
41533,"Atticotomy without reconstruction of the bony defect, with or without myringoplasty, other than a service associated with a service to which another item in this Subgroup applies(H) (Anaes.) (Assist.)",1303.6
41536,"Atticotomy with reconstruction of the bony defect, with or without myringoplasty, other than a service associated with a service to which another item in this Subgroup applies(H) (Anaes.) (Assist.)",1460.2
41539,"Ossicular chain reconstruction, other than a service associated with a service to which item 41611 applies(H) (Anaes.) (Assist.)",1241.65
41551,"Mastoidectomy, intact wall technique, with myringoplasty, other than a service associated with a service to which another item in this Subgroup applies(H) (Anaes.) (Assist.)",1814.85
41554,"Mastoidectomy, intact wall technique, with myringoplasty and ossicular chain reconstruction, other than a service associated with a service to which item 41603 or another item in this Subgroup applies(H) (Anaes.) (Assist.)",2138.3
41563,"Mastoidectomy (radical or modified radical), myringoplasty and ossicular chain reconstruction, other than a service associated with a service to which another item in this Subgroup applies (H) (Anaes.) (Assist.)",1684.2
41575,"CEREBELLOPONTINE ANGLE TUMOUR, removal of by 2 surgeons operating conjointly, by transmastoid, translabyrinthine or retromastoid approachtransmastoid, translabyrinthine or retromastoid procedure (including aftercare) (Anaes.) (Assist.)",2774.8
41603,"Osseo-integration procedure-implantation of bone conduction hearing system device, in a patient: (a) With a permanent or long-term hearing loss; and (b) Unable to utilise conventional air or bone conduction hearing aid for medical or audiological reasons; and (c) With bone conduction thresholds that accord with recognised criteria for the implantable bone conduction hearing device being inserted. other than a service associated with a service to which item 41554, 45794 or 45797 applies (Anaes.)",680.3
41608,STAPEDECTOMY (Anaes.) (Assist.),1241.65
41617,"Cochlear implant, insertion of, including mastoidectomy, cochleotomy and exposure of facial nerve where required, other than a service associated with a service to which item 41569 or 41614 applies(H) (Anaes.) (Assist.)",2159.1
41629,"Middle ear, exploration of, other than a service associated with a service to which another item in this Subgroup applies (H) (Anaes.) (Assist.)",593.9
41632,"Middle ear, insertion of tube fordrainage of (including myringotomy), other than a service associated with a service to which item 41626 applies (Anaes.)",272.05
41635,"Clearance of middle ear for granuloma, cholesteatoma and polyp, one or more, with or without myringoplasty, other than a service associated with a service to which another item in this Subgroup applies (H) (Anaes.) (Assist.)",1303.6
41638,"Clearance of middle ear for granuloma, cholesteatoma and polyp, one or more, with or without myringoplasty with ossicular chain reconstruction other than a service associated with a service to which another item in this Subgroup applies (H) (Anaes.) (Assist.)",1627.2
41644,"EXCISION OF RIM OF EARDRUM PERFORATION, not being a service associated with myringoplasty (Anaes.)",162.8
41647,"Micro inspection of tympanic membrane and auditory canal, requiring use of operating microscope or endoscope, including any removal of wax, with or without general anaesthesia, other than a service associated with a service to which item 41509 applies. Not applicable for the removal of uncomplicated wax in the absence of other disorders of the ear (Anaes.)",125.2
41668,"Nasal polyp or polypi,removal of (Anaes.)",250.5
41671,"Septal surgery, including septoplasty, septal reconstruction, septectomy, closure of septal perforation or other modifications of the septum, not including cauterisation, by any approach, other than a service associated with a service to which item 41689, 41692 or 41693 applies (H) (Anaes.) (Assist.)",597.5
41674,Cauterisation (other than by chemical means) or cauterisation by chemical means when performed under general anaesthesia or diathermy of septum or turbinates—one or more of these procedures (including any consultation on the same occasion) other than a service associated with another operation on the nose (Anaes.),114.45
41692,"Turbinate, submucous resection with removal of bone, unilateral or bilateral, other than a service associated with a service to which item 41671, 41689 or 41693 applies (H) (Anaes.)",304.25
41710,"Antrostomyby any approach, other than a service associated with a service to which item 41702, 41703, 41705 or 41698 applies on the same side (H) (Anaes.) (Assist.)",403.1
41722,"Oroantral fistula, plastic closure of, other than a service associated with a service to which item 41719 or 45009 applies (Anaes.) (Assist.)",669.4
41734,"Endoscopic Lothrop procedure or radical external frontal sinusotomy with osteoplastic flap, unilateral, other than a service associated with a service to which item 41698, 41703, 41705 or 41764 applies on the same side(H) (Anaes.) (Assist.)",1155.2
41737,"Frontal sinus, unilateral, intranasal operation on, including complete dissection of frontal recess and exposure of frontal sinus ostium (excludes simple probing, dilatation or irrigation of frontal sinus), other than a service associated with a service to which item 41698, 41703, 41705 or 41764 applies on the same side(H) (Anaes.) (Assist.)",550.55
41764,"Nasendoscopy or sinoscopy or fibreoptic examination of nasopharynx and larynx, one or more of these procedures, unilateral or bilateral examination, other than a service associated with a service to which item 41693, 41702, 41703, 41705, 41734 or 41737 applies (Anaes.)",139.9
41786,"UVULOPALATOPHARYNGOPLASTY, with or without tonsillectomy, by any means (Anaes.) (Assist.)",839.65
41789,"Tonsils or tonsils and adenoids, removal of, in a patient aged less than 12 years(including any examination of the postnasal space and nasopharynx and the infiltration of local anaesthetic), not being a service to which item 41764 applies (Anaes.)",336.85
41793,"Tonsils or tonsils and adenoids, removal of, in a patient 12 years of age or over (including any examination of the postnasal space and nasopharynx and the infiltration of local anaesthetic), not being a service to which item 41764 applies (Anaes.)",423.25
41801,"Adenoids, removal of (including any examination of the postnasal space and nasopharynx and the infiltration of local anaesthetic), not being a service to which item 41764 applies (Anaes.)",185.65
41831,"Oesophagus, endoscopic pneumatic dilatation of,for treatment of achalasia (Anaes.) (Assist.)",406.7
41855,"Microlaryngoscopy, by any approach, with or without biopsy(H) (Anaes.) (Assist.)",328.3
41861,"Microlaryngoscopy with complete removal of benign or malignant lesions of the larynx, including papillomata, by any approach or technique, unilateral, other than a service associated with a service to which item 41870 applies on the same side (H) (Anaes.) (Assist.)",688.4
41870,"Laryngeal augmentation or modification by injection techniques, other than a service associated with a service to which item 41879 applies or item 41861 applies on the same side (Anaes.) (Assist.)",518.15
41879,"Tracheoplasty, laryngoplasty or thyroplasty, not by injection techniques, including tracheostomy, other than a service associated with a service to which item 41870 applies(H) (Anaes.) (Assist.)",1084.7
42503,"OPHTHALMOLOGICAL EXAMINATION under general anaesthesia, not being a service associated with a service to which another item in this Group applies (Anaes.)",116.75
42504,"Glaucoma, implantation of a micro-bypass surgery stent system into the trabecular meshwork, if: (a) conservative therapies have failed, are likely to fail, or are contraindicated; and (b) the service is performed by a specialist with training that is recognised by the Conjoint Committee for the Recognition of Training in Micro-Bypass Glaucoma Surgery (Anaes.)",342.65
42533,"ORBIT, EXPLORATION OF, with drainage or biopsy not requiring removal of bone (Anaes.) (Assist.)",462.55
42575,"TARSAL CYST, extirpation of (Anaes.)",94.25
42590,"CANTHOPLASTY, medial or lateral (Anaes.) (Assist.)",385.5
42599,"LACRIMAL CANALICULAR SYSTEM, establishment of patency by closed operation using silicone tubes or similar, 1 eye (Anaes.) (Assist.)",719.7
42602,"LACRIMAL CANALICULAR SYSTEM, establishment of patency by open operation, 1 eye (Anaes.) (Assist.)",719.7
42610,"NASOLACRIMAL TUBE (unilateral), removal or replacement of, or LACRIMAL PASSAGES, probing for obstruction, unilateral, with or without lavage - under general anaesthesia (Anaes.)",109.65
42623,DACRYOCYSTORHINOSTOMY (Anaes.) (Assist.),796.85
42626,DACRYOCYSTORHINOSTOMY where a previous dacryocystorhinostomy has been performed (Anaes.) (Assist.),1285.15
42641,"AUTOCONJUNCTIVAL TRANSPLANT, or mucous membrane graft (Anaes.) (Assist.)",556.85
42647,"CORNEAL SCARS, removal of, by partial keratectomy, not being a service associated with a service to which item 42686 applies (Anaes.)",233.05
42652,"Corneal collagen cross linking, on a patient with a corneal ectatic disorder, with evidence of progression—per eye (Anaes.)",1367.1
42653,CORNEA transplantation of (Anaes.) (Assist.),1489.8
42656,"CORNEA, transplantation of, second and subsequent procedures (Anaes.) (Assist.)",1901.9
42672,"CORNEAL INCISONS, to correct corneal astigmatism of more than 11/2 dioptres following anterior segment surgery, including appropriate measurements and calculations, performed as an independent procedure (Anaes.) (Assist.)",1027.9
42680,"CONJUNCTIVA, cryotherapy to, for melanotic lesions or similar using CO&#178; or N&#178;0 (Anaes.)",342.65
42692,"LIMBIC TUMOUR, removal of, excluding Pterygium (Anaes.) (Assist.)",315.3
42695,"LIMBIC TUMOUR, excision of, requiring keratectomy or sclerectomy, excluding Pterygium (Anaes.) (Assist.)",513.85
42701,"INTRAOCULAR LENS, insertion of, excluding surgery performed for the correction of refractive errorexcept for anisometropia greater than 3 dioptres following the removal of cataract in the first eye (Anaes.)",377.85
42702,"LENS EXTRACTION AND INSERTION OF INTRAOCULAR LENS, excluding surgery performed for the correction of refractive error except for anisometropia greater than 3 dioptres following the removal of cataract in the first eye (Anaes.)",866.5
42704,"INTRAOCULAR LENS, REMOVAL or REPOSITIONING of by open operation, not being a service associated with a service to which item 42701 applies (Anaes.)",531
42705,"LENS EXTRACTION AND INSERTION OF INTRAOCULAR LENS, excluding surgery performed for the correction of refractive errorexcept for anisometropia greater than 3 dioptres following the removal of cataract in the first eye, performed in association with insertion of a trans-trabecular drainage device or devices, in a patient diagnosed with open angle glaucoma who is not adequately responsive to topical anti-glaucoma medications or who is intolerant of anti-glaucoma medication. (Anaes.)",1038
42707,"INTRAOCULAR LENS, REMOVAL of and REPLACEMENT with a different lens, excluding surgery performed for the correction of refractive error except for anisometropia greater than 3 dioptres following the removal of cataract in the first eye (Anaes.)",908.05
42719,"REMOVAL OF VITREOUS, and/or CAPSULAR or LENS MATERIAL, via a limbal approach, not being a service associated with a service to which item 42698, 42702, 42716, 42725 or 42731 applies (Anaes.) (Assist.)",591.25
42725,"Vitrectomy via pars plana sclerotomy, including one or more of the following:(a) removal of vitreous; (b) division of vitreous bands; (c) removal of epiretinal membranes; (d) capsulotomy (Anaes.) (Assist.)",1524.8
42731,"LIMBAL OR PARS PLANA LENSECTOMY combined with vitrectomy, not being a service associated with items 42698, 42702, 42719, or 42725 (Anaes.) (Assist.)",1730.45
42738,"PARACENTESIS OF ANTERIOR CHAMBER OR VITREOUS CAVITY, or both, for the injection of therapeutic substances, or the removal of aqueous or vitreous humours for diagnostic or therapeutic purposes, 1 or more of, as an independent procedure.",342.65
42739,"PARACENTESIS OF ANTERIOR CHAMBER OR VITREOUS CAVITY, or both, for the injection of therapeutic substances, or the removal of aqueous or vitreous humours for diagnostic or therapeutic purposes,one or more of, as an independent procedure, for a patient requiring the administration of anaesthetic by an anaesthetist. (Anaes.)",342.65
42740,"INTRAVITREAL INJECTION OF THERAPEUTIC SUBSTANCES, or the removal of vitreous humour for diagnostic purposes, 1 or more of, as a procedure associated with other intraocular surgery. (Anaes.)",342.65
42744,"Needle revision of glaucoma filtration bleb, following glaucoma filtering procedure (Anaes.)",342.45
42746,"GLAUCOMA, filtering operation for, where conservative therapies have failed, are likely to fail, or are contraindicated (Anaes.) (Assist.)",1088
42749,"GLAUCOMA, filtering operation for, where previous filtering operation has been performed (Anaes.) (Assist.)",1362.15
42752,"GLAUCOMA, insertion of drainage device incorporating an extraocular reservoir for, such as a Molteno device (Anaes.) (Assist.)",1524.8
42770,"CYCLODESTRUCTIVE procedures for the treatment of intractable glaucoma, treatment to 1 eye, to a maximum of 2 treatments to that eye in a 2 year period (Anaes.) (Assist.)",335.8
42776,"DETACHED RETINA, buckling or resection operation for (Anaes.) (Assist.)",1524.8
42809,"RETINA, photocoagulation of, not being a service associated with photodynamic therapy with verteporfin (Anaes.) (Assist.)",513.85
42818,"RETINA, CRYOTHERAPY TO, as an independent procedure, or when performed in conjunction with item 42809 or 42770 (Anaes.)",668.15
42833,"SQUINT, OPERATION FOR, ON 1 OR BOTH EYES, the operation involving a total of 1 OR 2 MUSCLES on a patient aged 15 years or over (Anaes.) (Assist.)",668.15
42836,"SQUINT, OPERATION FOR, ON 1 OR BOTH EYES, the operation involving a total of 1 OR 2 MUSCLES, on a patient aged 14 years or under, or where the patient has had previous squint, retinal or extra ocular operations on the eye or eyes, or on a patient with concurrent thyroid eye disease (Anaes.) (Assist.)",830.95
42842,"SQUINT, OPERATION FOR, ON 1 OR BOTH EYES, the operation involving a total of 3 or MORE MUSCLES, on a patient aged 14 years or under, or where the patient has had previous squint, retinal or extra ocular operations on the eye or eyes, or on a patient with concurrent thyroid eye disease (Anaes.) (Assist.)",993.75
42857,RESUTURING OF WOUND FOLLOWING INTRAOCULAR PROCEDURES with or without excision of prolapsed iris (Anaes.) (Assist.),462.55
42863,"EYELID, recession of (Anaes.) (Assist.)",882.45
42866,"ENTROPION or TARSAL ECTROPION, repair of, by tightening, shortening or repair of inferior retractors by open operation across the entire width of the eyelid (Anaes.) (Assist.)",856.5
42872,"EYEBROW, elevation of, by skin excision, to correct for a reduced field of vision caused by paretic, involutional, or traumatic eyebrow descent/ptosis to a position below the superior orbital rim (Anaes.)",274.15
43527,"Operation on sternum, clavicle, rib, metacarpus, carpus, phalanx, metatarsus, tarsus, mandible or maxilla (other than alveolar margins), by open or arthroscopic means, for septic arthritis or osteomyelitis—one approach, inclusive of the adjoining joint (H) (Anaes.) (Assist.)",406
43530,"Operation on scapula, ulna, radius, tibia, fibula, humerus or femur, by open or arthroscopic means, for septic arthritis or osteomyelitis—one approach, inclusive of the adjoining joint (Anaes.) (Assist.)",406
43805,"UMBILICAL, EPIGASTRIC OR LINEA ALBA HERNIA, repair of, on a patient under 10 years of age (Anaes.)",406
43841,"Femoral or inguinal hernia or infantile hydrocele, repair of, on a patient under 10 years of age, other than a service to which item 30651 or 43835 applies (H) (Anaes.) (Assist.)",687.9
44108,"Inguinal hernia, laparoscopic or open repair of, at age less than 12 months (H) (Anaes.) (Assist.)",687.9
44338,"Amputation of one digit of one foot, distal to metatarsal head, including any of the following (if performed): (a) resection of bone or joint; (b) excision of neuroma; (c) skin cover with homodigital flaps (H) (Anaes.) (Assist.)",164.1
44359,"Amputation of one or more toes of one foot, or amputation at midfoot or hindfoot of one foot, for diabetic or other microvascular disease; (a) including any of the following (if performed): (i) resection of bone; (ii) excision of neuromas; (iii) excision of one or more bones of the foot; (iv) treatment of underlying infection; (v) skin cover or recontouring with homodigital flaps; and (b) excluding aftercare; —applicable only once per foot per occasion on which the service is performed (H) (Anaes.) (Assist.)",300.65
44367,"Amputation through thigh, at knee or below knee (H) (Anaes.) (Assist.)",594.6
45000,"Single stage local muscle flap repair, on eyelid, nose, lip, neck, hand, thumb, finger or genitals not in association with any of items 31356 to 31383 (Anaes.)",616.65
45003,"Single stage local myocutaneous flap repair to one defect, simple and small not in association with any of items 31356 to 31383 (Anaes.)",685.45
